Timestamp,Select your Age Group ,Gender,I believe that some people can predict the future using supernatural abilities.  ,Ghosts or spirits of the dead can influence the living.  ,Astrology can provide accurate insights into a person’s personality or future.  ,Certain objects or rituals can bring good or bad luck.  ,Some individuals possess psychic powers.  ,Some individuals possess psychic powers.  ,I usually rely on intuition rather than detailed analysis when making decisions.  ,I prefer logical reasoning and evidence over gut feelings.  ,I often notice patterns even when information is incomplete.  ,I enjoy questioning commonly accepted explanations  ,I am more likely to believe information that aligns with my existing beliefs.  ,Emotional stories influence my beliefs more than factual data.  ,I verify extraordinary claims using reliable sources.  ,Do you personally believe in paranormal phenomena?  ,Have you ever experienced something you believe was paranormal?  ,"If yes or unsure, whose experience was it?  ",To what extent do you believe paranormal experiences can be explained scientifically?  ,What do you think most influences your belief in the paranormal?  ,I believe my views on paranormal phenomena may be influenced by cognitive bias.  ,"If you wish, briefly describe your experience or belief. (Type 'skip' if you dont wish to share or if there aren't any experiences)"
02-01-2026 15:07,Oct-17,Female,Agree,5,2,3,1,3,4,4,4,4,4,2,3,Yes,Yes,My own experience,2,Personal experience,3,Skip 
02-01-2026 15:15,18-21,Male,Neutral,4,2,3,3,3,2,4,4,4,4,3,4,Unsure,Yes,A family member's experience,3,Experiences of others,4,Skip
02-01-2026 15:16,18-21,Female,Disagree,1,3,1,3,2,4,5,5,4,4,3,4,No,No,My own experience,1,Cultural or religious beliefs,4,
02-01-2026 15:18,18-21,Female,Disagree,4,4,4,5,1,2,4,2,1,2,3,2,Yes,Yes,A friend or Acquaintance's experience,3,Unsure,3,Skip
02-01-2026 15:19,18-21,Male,Strongly disagree,1,1,4,1,5,2,3,5,4,3,3,3,Yes,Yes,My own experience,2,Personal experience,3,Kuch to dangerous hua tha 
02-01-2026 15:22,18-21,Female,Agree,5,3,5,5,5,4,2,5,4,4,1,4,Yes,Yes,My own experience,3,Unsure,3,"Paranormal activities are basically energies of the universe. If there's light there's dark. It's common to experience strong energies at some places. The gut feeling is a sudden decision getting summon by the mind or soul of an individual. Paranormal activities are believed all over the world. There are many proofs that extra terrestrial beings do exist & they hold super natural powers. If you visit some very ancient cultures like Hindus, japanese, Egyptians and Chinese they all have a common part where they state the extra terrestrial or super natural beings do exist and somewhere were part of human evolution."
02-01-2026 15:26,30+,Female,Agree,4,3,4,4,2,3,5,2,4,4,2,4,Yes,Yes,My own experience,2,Logical reasoning and evidence,2,Skip
02-01-2026 15:39,18-21,Female,Disagree,2,1,1,3,3,2,5,3,3,3,3,4,Unsure,Not sure,A family member's experience,3,Logical reasoning and evidence,3,skip
02-01-2026 15:42,18-21,Female,Neutral,5,3,4,5,4,4,2,3,5,3,1,5,Yes,Not sure,,4,Logical reasoning and evidence,5,
02-01-2026 15:42,18-21,Female,Strongly disagree,3,2,2,3,5,4,5,4,4,3,5,4,Unsure,No,Media or online source,3,Cultural or religious beliefs,4,
02-01-2026 15:45,22-25,Male,Disagree,1,1,1,2,1,3,2,3,5,4,2,4,No,No,,2,Experiences of others,1,
02-01-2026 15:48,18-21,Female,Agree,1,4,1,3,4,1,1,3,3,4,4,2,Yes,No,A family member's experience,1,Cultural or religious beliefs,2,Skip
02-01-2026 15:53,18-21,Male,Neutral,2,4,3,2,4,3,4,4,3,4,3,4,Unsure,No,,4,"Media (social media, TV, internet)",3,
02-01-2026 15:55,18-21,Female,Neutral,2,2,3,3,3,3,3,3,3,3,3,3,Yes,No,A friend or Acquaintance's experience,3,Experiences of others,3,Skip
02-01-2026 15:55,18-21,Male,Agree,3,3,5,5,3,2,5,1,5,5,1,5,Yes,Yes,My own experience,5,Cultural or religious beliefs,5,Skip 
02-01-2026 15:58,18-21,Female,Neutral,3,3,2,3,4,3,4,4,2,2,2,3,Yes,Yes,My own experience,3,Personal experience,4,
02-01-2026 15:58,18-21,Male,Neutral,3,5,3,3,1,4,5,5,5,3,5,3,Yes,Not sure,A family member's experience,5,Personal experience,3,
02-01-2026 15:58,18-21,Female,Agree,3,3,4,3,3,2,5,3,3,3,1,2,No,No,A family member's experience,1,Cultural or religious beliefs,2,
02-01-2026 16:02,18-21,Female,Agree,4,5,4,3,3,1,1,4,4,3,3,4,Yes,Yes,My own experience,3,Personal experience,3,Skip
02-01-2026 16:04,18-21,Female,Disagree,1,3,2,1,2,3,5,4,3,2,3,2,Unsure,Yes,A family member's experience,3,Personal experience,2,
02-01-2026 16:05,18-21,Male,Disagree,5,3,3,1,1,5,5,5,5,5,5,5,Unsure,No,My own experience,1,Cultural or religious beliefs,1,No any experiences
02-01-2026 16:05,18-21,Female,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,Unsure,Not sure,Media or online source,3,"Media (social media, TV, internet)",4,
02-01-2026 16:09,18-21,Female,Agree,3,5,5,5,3,3,4,4,3,4,4,4,Yes,Yes,My own experience,4,Personal experience,4,
02-01-2026 16:12,26-30,Male,Neutral,3,4,4,5,5,5,2,4,3,2,4,4,Unsure,No,Media or online source,2,"Media (social media, TV, internet)",2,Skip
02-01-2026 16:13,18-21,Female,Agree,3,4,3,3,3,3,3,3,3,3,3,3,Unsure,Not sure,A family member's experience,3,Unsure,3,Skip
02-01-2026 16:14,18-21,Female,Strongly disagree,5,1,5,1,1,4,4,4,5,5,5,1,Unsure,Yes,A friend or Acquaintance's experience,4,Experiences of others,3,
02-01-2026 16:16,Oct-17,Female,Agree,3,3,5,4,4,2,4,4,3,4,1,2,Yes,Yes,My own experience,1,Personal experience,3,
02-01-2026 16:19,18-21,Male,Neutral,3,5,4,5,3,1,5,3,4,3,2,4,Yes,Yes,A family member's experience,3,Logical reasoning and evidence,3,Honestly saying by the experience..... If any individual/person gently understand the rules of any practices... Then he must think twice before doing any practices. 
02-01-2026 16:32,18-21,Female,Strongly agree,4,3,3,2,3,5,5,4,5,3,4,4,Unsure,Yes,My own experience,2,Cultural or religious beliefs,3,Skip
02-01-2026 16:38,18-21,Male,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,Unsure,Not sure,Media or online source,3,"Media (social media, TV, internet)",3,
02-01-2026 16:41,18-21,Female,Disagree,4,3,2,1,1,1,5,3,3,2,2,4,No,Yes,A family member's experience,3,Personal experience,3,Skip
02-01-2026 16:52,26-30,Male,Neutral,1,3,3,3,5,5,5,2,2,4,2,4,Yes,Yes,My own experience,3,Cultural or religious beliefs,3,
02-01-2026 16:55,18-21,Male,Neutral,4,3,5,3,3,4,2,4,4,4,3,4,Yes,No,,2,Experiences of others,3,Skip
02-01-2026 17:03,18-21,Male,Strongly disagree,1,2,3,1,1,5,3,5,3,4,4,3,Unsure,Not sure,My own experience,2,Logical reasoning and evidence,2,
02-01-2026 17:05,18-21,Male,Disagree,5,5,5,5,5,5,5,5,5,3,3,3,No,No,My own experience,2,Personal experience,3,Skip
02-01-2026 17:07,18-21,Male,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,Unsure,Not sure,Media or online source,3,Unsure,3,
02-01-2026 17:13,18-21,Male,Neutral,4,5,1,4,5,2,4,1,4,4,5,2,No,Yes,A friend or Acquaintance's experience,1,Experiences of others,4,
02-01-2026 18:23,18-21,Female,Neutral,3,3,5,4,3,2,4,2,3,2,1,3,Unsure,Yes,A family member's experience,4,Personal experience,3,Skip
02-01-2026 18:53,18-21,Female,Neutral,2,1,4,3,4,2,5,4,5,5,2,5,Unsure,Yes,My own experience,4,Personal experience,3,Skip
02-01-2026 19:00,26-30,Male,Agree,4,1,3,2,2,2,4,3,2,4,4,3,Yes,Not sure,A family member's experience,2,Cultural or religious beliefs,3,skip
02-01-2026 19:31,30+,Male,Disagree,1,1,2,1,2,2,1,1,2,2,2,1,Yes,Yes,My own experience,1,Personal experience,1,
02-01-2026 19:31,18-21,Male,Neutral,3,3,5,5,3,2,3,4,3,2,3,5,Yes,No,A friend or Acquaintance's experience,2,Experiences of others,2,
02-01-2026 19:33,30+,Male,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,Unsure,Not sure,Media or online source,3,"Media (social media, TV, internet)",3,
02-01-2026 19:33,30+,Male,Disagree,2,1,2,1,2,2,1,2,2,1,1,2,No,Yes,A family member's experience,2,Personal experience,1,Skip
02-01-2026 19:34,18-21,Female,Agree,3,3,3,3,3,3,3,3,3,3,3,3,Yes,No,My own experience,3,Personal experience,3,
02-01-2026 19:40,26-30,Male,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,Unsure,Not sure,Media or online source,3,"Media (social media, TV, internet)",3,
02-01-2026 19:42,18-21,Female,Strongly disagree,1,5,5,5,5,5,5,5,5,5,5,5,No,No,My own experience,5,Personal experience,5,
02-01-2026 19:47,22-25,Male,Neutral,4,3,3,3,3,3,3,3,4,2,4,4,Unsure,Yes,My own experience,3,Cultural or religious beliefs,4,Good
02-01-2026 19:47,22-25,Male,Agree,4,4,4,4,4,4,4,4,4,3,4,4,Unsure,Not sure,A friend or Acquaintance's experience,4,Logical reasoning and evidence,4,NA 
02-01-2026 19:50,30+,Male,Agree,4,4,4,4,4,4,4,4,4,3,4,4,No,No,A friend or Acquaintance's experience,3,Logical reasoning and evidence,4,NA 
02-01-2026 19:53,30+,Male,Agree,4,4,4,4,4,4,4,4,4,4,4,4,No,No,A friend or Acquaintance's experience,4,"Media (social media, TV, internet)",4,Na Na
02-01-2026 20:14,18-21,Male,Neutral,2,3,2,3,3,2,5,4,1,2,3,3,No,No,,1,Unsure,3,
